Year,RM,Crop,Yield
2000,224,Oats,55.0
2001,224,Oats,29.1
2002,224,Oats,28.5
2003,224,Oats,48.4
2004,224,Oats,55.6
2005,224,Oats,44.5
2010,224,Oats,55.4
2011,224,Oats,62.5
2015,224,Oats,41.73
1939,225,Oats,22.0
1940,225,Oats,15.0
1941,225,Oats,8.0
1942,225,Oats,52.0
1943,225,Oats,20.0
1944,225,Oats,28.0
1945,225,Oats,6.0
1946,225,Oats,18.0
1947,225,Oats,10.0
1948,225,Oats,10.0
1949,225,Oats,3.0
1950,225,Oats,7.0
1951,225,Oats,37.0
1952,225,Oats,55.0
1953,225,Oats,36.0
1954,225,Oats,37.0
1955,225,Oats,40.0
1956,225,Oats,37.0
1957,225,Oats,35.0
1958,225,Oats,17.0
1959,225,Oats,30.0
1960,225,Oats,40.0
1961,225,Oats,9.0
1962,225,Oats,38.0
1963,225,Oats,50.0
1964,225,Oats,18.0
1965,225,Oats,40.0
1966,225,Oats,50.0
1967,225,Oats,25.0
1968,225,Oats,32.0
1969,225,Oats,52.0
1970,225,Oats,64.0
1971,225,Oats,58.0
1972,225,Oats,46.0
1973,225,Oats,38.0
1974,225,Oats,46.0
1975,225,Oats,47.0
1976,225,Oats,53.0
1977,225,Oats,59.0
1979,225,Oats,36.0
1980,225,Oats,35.0
1981,225,Oats,55.0
1983,225,Oats,52.0
1984,225,Oats,22.5
1985,225,Oats,19.0
1986,225,Oats,42.5
1987,225,Oats,62.0
1988,225,Oats,15.0
1989,225,Oats,45.0
1990,225,Oats,66.7
1991,225,Oats,50.5
1992,225,Oats,45.0
1993,225,Oats,65.3
1994,225,Oats,52.0
1995,225,Oats,55.0
1996,225,Oats,58.0
1997,225,Oats,51.6
1998,225,Oats,45.1
1999,225,Oats,62.5
2000,225,Oats,36.3
2001,225,Oats,25.0
2002,225,Oats,25.0
2003,225,Oats,24.2
2004,225,Oats,45.2
2005,225,Oats,56.7
2006,225,Oats,38.3
2007,225,Oats,29.9
2009,225,Oats,56.5
2011,225,Oats,57.0
2013,225,Oats,28.0
2016,225,Oats,55.0
1939,226,Oats,48.0
1940,226,Oats,24.0
1941,226,Oats,8.0
1942,226,Oats,61.0
1943,226,Oats,20.0
1944,226,Oats,33.0
1945,226,Oats,12.0
1946,226,Oats,34.0
1947,226,Oats,17.0
1948,226,Oats,6.0
1949,226,Oats,5.0
1950,226,Oats,20.0
1951,226,Oats,39.0
1952,226,Oats,46.0
1953,226,Oats,43.0
1954,226,Oats,43.0
1955,226,Oats,41.0
1956,226,Oats,41.0
1957,226,Oats,39.0
1958,226,Oats,19.0
1959,226,Oats,43.0
1960,226,Oats,38.0
1961,226,Oats,13.0
1962,226,Oats,47.0
1963,226,Oats,50.0
1964,226,Oats,16.0
1965,226,Oats,35.0
1966,226,Oats,58.0
1967,226,Oats,24.0
1968,226,Oats,39.0
1969,226,Oats,54.0
1970,226,Oats,62.0
1971,226,Oats,59.0
1972,226,Oats,54.0
1973,226,Oats,39.0
1974,226,Oats,35.0
1975,226,Oats,48.0
1976,226,Oats,70.0
1977,226,Oats,61.0
1978,226,Oats,51.0
1979,226,Oats,44.0
1980,226,Oats,34.0
1981,226,Oats,44.0
1982,226,Oats,69.0
1983,226,Oats,56.0
1984,226,Oats,26.5
1985,226,Oats,23.0
1986,226,Oats,56.7
1987,226,Oats,56.7
1988,226,Oats,22.0
1989,226,Oats,40.0
1990,226,Oats,40.7
1991,226,Oats,48.3
1992,226,Oats,80.0
1993,226,Oats,61.8
1994,226,Oats,60.0
1995,226,Oats,53.9
1996,226,Oats,70.4
1997,226,Oats,57.5
1998,226,Oats,44.0
1999,226,Oats,69.9
2000,226,Oats,60.7
2001,226,Oats,38.1
2002,226,Oats,53.7
2003,226,Oats,27.1
2004,226,Oats,66.8
2005,226,Oats,46.0
2006,226,Oats,49.1
2007,226,Oats,45.8
2008,226,Oats,60.2
2009,226,Oats,33.6
2010,226,Oats,80.8
2011,226,Oats,55.5
2012,226,Oats,63.5
2013,226,Oats,85.4
2014,226,Oats,46.5
2015,226,Oats,41.14
2016,226,Oats,57.6
2017,226,Oats,49.8
2018,226,Oats,43.0
2019,226,Oats,27.6
2020,226,Oats,70.2
2021,226,Oats,11.6
2022,226,Oats,17.8
2023,226,Oats,9.6
2024,226,Oats,60.9
2025,226,Oats,78.8
1938,228,Oats,7.0
1939,228,Oats,56.0
1940,228,Oats,40.0
1941,228,Oats,24.0
1942,228,Oats,62.0
1943,228,Oats,14.0
1944,228,Oats,30.0
1945,228,Oats,10.0
1946,228,Oats,36.0
1947,228,Oats,23.0
1948,228,Oats,32.0
1949,228,Oats,13.0
1950,228,Oats,40.0
1951,228,Oats,46.0
1952,228,Oats,53.0
1953,228,Oats,42.0
1954,228,Oats,40.0
1955,228,Oats,53.0
1956,228,Oats,49.0
1957,228,Oats,34.0
1958,228,Oats,27.0
1959,228,Oats,38.0
1960,228,Oats,29.0
1961,228,Oats,17.0
1962,228,Oats,36.0
1963,228,Oats,40.0
1964,228,Oats,15.0
1965,228,Oats,53.0
1966,228,Oats,68.0
1967,228,Oats,32.0
1968,228,Oats,45.0
1969,228,Oats,52.0
1970,228,Oats,66.0
1971,228,Oats,58.0
1972,228,Oats,54.0
1973,228,Oats,34.0
1974,228,Oats,44.0
1975,228,Oats,50.0
1976,228,Oats,70.0
1977,228,Oats,64.0
1978,228,Oats,52.0
1979,228,Oats,44.0
1980,228,Oats,34.0
1981,228,Oats,45.0
1982,228,Oats,74.0
1983,228,Oats,72.3
1984,228,Oats,34.6
1985,228,Oats,20.4
1986,228,Oats,60.0
1987,228,Oats,44.3
1988,228,Oats,17.0
1989,228,Oats,27.4
1990,228,Oats,23.0
1991,228,Oats,39.8
1992,228,Oats,91.0
1993,228,Oats,60.0
1994,228,Oats,40.0
1995,228,Oats,55.0
1996,228,Oats,65.0
1997,228,Oats,64.2
1998,228,Oats,55.8
1999,228,Oats,61.3
2000,228,Oats,50.0
2001,228,Oats,27.5
2002,228,Oats,18.6
2003,228,Oats,31.7
2004,228,Oats,41.0
2005,228,Oats,46.3
2006,228,Oats,36.5
2007,228,Oats,50.0
2008,228,Oats,47.0
2009,228,Oats,31.0
2010,228,Oats,42.1
2011,228,Oats,77.5
2013,228,Oats,52.2
2014,228,Oats,58.03
2015,228,Oats,34.16
2016,228,Oats,80.0
2017,228,Oats,41.3
2019,228,Oats,29.2
2020,228,Oats,53.2
2021,228,Oats,18.1
2022,228,Oats,3.9
2023,228,Oats,3.8
2024,228,Oats,33.4
2025,228,Oats,47.3
1938,229,Oats,24.0
1939,229,Oats,54.0
1940,229,Oats,49.0
1941,229,Oats,26.0
1942,229,Oats,53.0
1943,229,Oats,9.0
1944,229,Oats,10.0
1945,229,Oats,8.0
1946,229,Oats,25.0
1947,229,Oats,16.0
1948,229,Oats,14.0
1949,229,Oats,1.0
1950,229,Oats,22.0
1951,229,Oats,40.0
1952,229,Oats,58.0
1953,229,Oats,40.0
1954,229,Oats,41.0
1955,229,Oats,39.0
1956,229,Oats,54.0
1957,229,Oats,48.0
1958,229,Oats,35.0
1959,229,Oats,43.0
1960,229,Oats,36.0
1961,229,Oats,26.0
1962,229,Oats,39.0
1963,229,Oats,45.0
1964,229,Oats,31.0
1965,229,Oats,58.0
1966,229,Oats,63.0
1967,229,Oats,33.0
1968,229,Oats,46.0
1969,229,Oats,47.0
1970,229,Oats,66.0
1971,229,Oats,57.0
1972,229,Oats,47.0
1973,229,Oats,42.0
1974,229,Oats,42.0
1975,229,Oats,50.0
1976,229,Oats,51.0
1977,229,Oats,55.0
1978,229,Oats,64.0
1979,229,Oats,47.0
1980,229,Oats,35.0
1981,229,Oats,48.0
1982,229,Oats,67.0
1983,229,Oats,63.7
1984,229,Oats,45.0
1985,229,Oats,25.0
1986,229,Oats,55.0
1987,229,Oats,50.0
1988,229,Oats,10.0
1989,229,Oats,32.6
1990,229,Oats,23.0
1991,229,Oats,79.3
1992,229,Oats,66.9
1993,229,Oats,73.7
1994,229,Oats,70.0
1995,229,Oats,80.0
1996,229,Oats,68.8
1997,229,Oats,55.3
1998,229,Oats,46.8
1999,229,Oats,48.9
2000,229,Oats,95.0
2001,229,Oats,41.0
2002,229,Oats,37.7
2003,229,Oats,25.2
2004,229,Oats,44.5
2005,229,Oats,71.5
2007,229,Oats,51.4
2010,229,Oats,67.1
2013,229,Oats,92.6
2014,229,Oats,84.43
2018,229,Oats,35.0
2019,229,Oats,40.0
2020,229,Oats,40.0
2022,229,Oats,25.0
2023,229,Oats,14.3
2025,229,Oats,70.0
1938,230,Oats,21.0
1939,230,Oats,48.0
1940,230,Oats,36.0
1941,230,Oats,28.0
1942,230,Oats,37.0
1943,230,Oats,13.0
1944,230,Oats,7.0
1945,230,Oats,10.0
1946,230,Oats,24.0
1947,230,Oats,26.0
1948,230,Oats,10.0
1949,230,Oats,6.0
1950,230,Oats,18.0
1951,230,Oats,48.0
1952,230,Oats,53.0
1953,230,Oats,50.0
1954,230,Oats,25.0
1955,230,Oats,50.0
1956,230,Oats,70.0
1957,230,Oats,57.0
1958,230,Oats,29.0
1959,230,Oats,41.0
1960,230,Oats,32.0
1961,230,Oats,20.0
1962,230,Oats,48.0
1963,230,Oats,52.0
1964,230,Oats,30.0
1965,230,Oats,61.0
1966,230,Oats,70.0
1967,230,Oats,43.0
1968,230,Oats,50.0
1969,230,Oats,50.0
1970,230,Oats,66.0
1971,230,Oats,59.0
1972,230,Oats,44.0
1973,230,Oats,45.0
1974,230,Oats,45.0
1975,230,Oats,45.0
1976,230,Oats,45.0
1977,230,Oats,52.0
1978,230,Oats,43.0
1979,230,Oats,48.0
1980,230,Oats,40.0
1981,230,Oats,43.0
1982,230,Oats,69.0
1983,230,Oats,52.5
1984,230,Oats,45.0
1985,230,Oats,17.0
1986,230,Oats,67.7
1987,230,Oats,56.3
1988,230,Oats,10.0
1989,230,Oats,22.5
1990,230,Oats,18.0
1991,230,Oats,72.5
1992,230,Oats,60.0
1993,230,Oats,80.0
1994,230,Oats,57.0
1995,230,Oats,73.0
1996,230,Oats,60.8
1997,230,Oats,40.0
1998,230,Oats,57.0
1999,230,Oats,73.1
2000,230,Oats,47.7
2001,230,Oats,35.0
2002,230,Oats,25.4
2010,230,Oats,41.4
2013,230,Oats,60.0
2014,230,Oats,38.91
2015,230,Oats,46.99
2016,230,Oats,33.6
2021,230,Oats,16.6
2022,230,Oats,13.0
2023,230,Oats,17.9
2024,230,Oats,30.0
1938,231,Oats,17.0
1939,231,Oats,30.0
1940,231,Oats,41.0
1941,231,Oats,26.0
1942,231,Oats,36.0
1943,231,Oats,16.0
1944,231,Oats,5.0
1945,231,Oats,6.0
1946,231,Oats,26.0
1947,231,Oats,27.0
1948,231,Oats,17.0
1949,231,Oats,11.0
1950,231,Oats,11.0
1951,231,Oats,34.0
1952,231,Oats,47.0
1953,231,Oats,53.0
1954,231,Oats,33.0
1955,231,Oats,37.0
1956,231,Oats,50.0
1957,231,Oats,38.0
1958,231,Oats,33.0
1959,231,Oats,43.0
1960,231,Oats,25.0
1961,231,Oats,5.0
1962,231,Oats,40.0
1963,231,Oats,50.0
1964,231,Oats,40.0
1965,231,Oats,53.0
1966,231,Oats,67.0
1967,231,Oats,40.0
1968,231,Oats,46.0
1969,231,Oats,46.0
1970,231,Oats,53.0
1971,231,Oats,54.0
1972,231,Oats,42.0
1973,231,Oats,40.0
1974,231,Oats,40.0
1975,231,Oats,40.0
1976,231,Oats,36.0
1977,231,Oats,40.0
1978,231,Oats,40.0
1979,231,Oats,45.0
1980,231,Oats,35.0
1981,231,Oats,45.0
1982,231,Oats,59.0
1983,231,Oats,58.4
1984,231,Oats,33.0
1985,231,Oats,23.7
1986,231,Oats,57.5
1987,231,Oats,53.3
1988,231,Oats,13.0
1989,231,Oats,22.0
1990,231,Oats,16.0
1991,231,Oats,40.0
1992,231,Oats,75.0
1993,231,Oats,100.0
1994,231,Oats,80.0
1995,231,Oats,80.0
1996,231,Oats,50.8
1998,231,Oats,44.5
1999,231,Oats,55.0
2000,231,Oats,24.0
2003,231,Oats,39.1
2004,231,Oats,56.3
2010,231,Oats,65.0
2011,231,Oats,45.7
2014,231,Oats,80.01
2015,231,Oats,50.21
2016,231,Oats,46.4
2020,231,Oats,31.4
2022,231,Oats,25.5
2024,231,Oats,26.5
2025,231,Oats,14.9
1938,232,Oats,10.0
1939,232,Oats,11.0
1940,232,Oats,25.0
1941,232,Oats,10.0
1942,232,Oats,27.0
1943,232,Oats,4.0
1945,232,Oats,2.0
1946,232,Oats,20.0
1947,232,Oats,20.0
1948,232,Oats,4.0
1949,232,Oats,3.0
1950,232,Oats,3.0
1951,232,Oats,36.0
1952,232,Oats,40.0
1953,232,Oats,34.0
1954,232,Oats,33.0
1955,232,Oats,27.0
1956,232,Oats,41.0
1957,232,Oats,31.0
1958,232,Oats,17.0
1959,232,Oats,25.0
1960,232,Oats,16.0
1961,232,Oats,2.0
1962,232,Oats,16.0
1963,232,Oats,32.0
1964,232,Oats,23.0
1965,232,Oats,36.0
1966,232,Oats,55.0
1967,232,Oats,25.0
1968,232,Oats,30.0
1969,232,Oats,30.0
1970,232,Oats,52.0
1971,232,Oats,46.0
1972,232,Oats,37.0
1973,232,Oats,18.0
1974,232,Oats,35.0
1975,232,Oats,40.0
1976,232,Oats,47.0
1977,232,Oats,25.0
1978,232,Oats,40.0
1979,232,Oats,45.0
1980,232,Oats,35.0
1981,232,Oats,35.0
1982,232,Oats,40.0
1983,232,Oats,35.0
1984,232,Oats,25.0
1985,232,Oats,18.0
1986,232,Oats,50.0
1987,232,Oats,30.0
1988,232,Oats,11.0
1989,232,Oats,23.0
1990,232,Oats,12.0
1991,232,Oats,38.0
1992,232,Oats,90.0
1993,232,Oats,80.0
1996,232,Oats,58.8
1998,232,Oats,70.9
1999,232,Oats,80.0
2000,232,Oats,32.9
2001,232,Oats,16.5
2002,232,Oats,25.1
2003,232,Oats,22.5
2004,232,Oats,60.0
2005,232,Oats,47.5
2006,232,Oats,60.0
2007,232,Oats,54.5
2008,232,Oats,65.0
2010,232,Oats,65.0
2011,232,Oats,36.6
2013,232,Oats,52.7
2015,232,Oats,84.16
2016,232,Oats,62.4
2024,232,Oats,41.9
1938,241,Oats,33.0
1939,241,Oats,22.0
1940,241,Oats,11.0
1941,241,Oats,23.0
1942,241,Oats,49.0
1943,241,Oats,52.0
1944,241,Oats,35.0
1945,241,Oats,48.0
1946,241,Oats,39.0
1947,241,Oats,37.0
1948,241,Oats,35.0
1949,241,Oats,43.0
1950,241,Oats,48.0
1951,241,Oats,42.0
1952,241,Oats,44.0
1953,241,Oats,47.0
1954,241,Oats,27.0
1955,241,Oats,34.0
1956,241,Oats,50.0
1957,241,Oats,24.0
1958,241,Oats,27.0
1959,241,Oats,35.0
1960,241,Oats,25.0
1961,241,Oats,8.0
1962,241,Oats,37.0
1963,241,Oats,50.0
1964,241,Oats,43.0
1965,241,Oats,50.0
1966,241,Oats,52.0
1967,241,Oats,35.0
1968,241,Oats,46.0
1969,241,Oats,58.0
1970,241,Oats,52.0
1971,241,Oats,61.0
1972,241,Oats,50.0
1973,241,Oats,41.0
1974,241,Oats,28.0
1975,241,Oats,44.0
1976,241,Oats,55.0
1977,241,Oats,57.0
1978,241,Oats,54.0
1979,241,Oats,26.0
1980,241,Oats,40.0
1981,241,Oats,60.0
1982,241,Oats,57.0
1983,241,Oats,51.7
1984,241,Oats,58.4
1985,241,Oats,61.7
1986,241,Oats,62.5
1987,241,Oats,71.0
1988,241,Oats,35.0
1989,241,Oats,52.3
1990,241,Oats,71.3
1991,241,Oats,55.0
1992,241,Oats,41.3
1993,241,Oats,60.4
1994,241,Oats,65.9
1995,241,Oats,70.0
1996,241,Oats,79.1
1997,241,Oats,47.7
1998,241,Oats,77.5
1999,241,Oats,64.3
2000,241,Oats,65.7
2001,241,Oats,53.5
2002,241,Oats,47.1
2003,241,Oats,55.6
2004,241,Oats,75.1
2005,241,Oats,50.6
2006,241,Oats,50.7
2007,241,Oats,74.3
2008,241,Oats,82.7
2009,241,Oats,68.0
2010,241,Oats,59.2
2011,241,Oats,59.3
2012,241,Oats,59.5
2013,241,Oats,91.9
2014,241,Oats,84.2
2015,241,Oats,72.04
2016,241,Oats,80.1
2017,241,Oats,83.37
2018,241,Oats,90.2
2019,241,Oats,92.3
2020,241,Oats,74.8
2021,241,Oats,48.6
2022,241,Oats,93.3
2023,241,Oats,64.1
2024,241,Oats,96.6
2025,241,Oats,111.6
1938,243,Oats,26.0
1939,243,Oats,16.0
1940,243,Oats,16.0
1941,243,Oats,20.0
1942,243,Oats,48.0
1943,243,Oats,55.0
1944,243,Oats,31.0
1945,243,Oats,40.0
1946,243,Oats,41.0
1947,243,Oats,36.0
1948,243,Oats,47.0
1949,243,Oats,31.0
1950,243,Oats,46.0
1951,243,Oats,42.0
1952,243,Oats,43.0
1953,243,Oats,49.0
1954,243,Oats,34.0
1955,243,Oats,43.0
1956,243,Oats,53.0
1957,243,Oats,31.0
1958,243,Oats,31.0
1959,243,Oats,43.0
1960,243,Oats,36.0
1961,243,Oats,9.0
1962,243,Oats,43.0
1963,243,Oats,58.0
1964,243,Oats,49.0
1965,243,Oats,54.0
1966,243,Oats,61.0
1967,243,Oats,35.0
1968,243,Oats,63.0
1969,243,Oats,58.0
1970,243,Oats,60.0
1971,243,Oats,62.0
1972,243,Oats,49.0
1973,243,Oats,47.0
1974,243,Oats,35.0
1975,243,Oats,42.0
1976,243,Oats,58.0
1977,243,Oats,60.0
1978,243,Oats,58.0
1979,243,Oats,18.0
1980,243,Oats,55.0
1981,243,Oats,63.0
1982,243,Oats,52.0
1983,243,Oats,54.9
1984,243,Oats,52.9
1985,243,Oats,65.0
1986,243,Oats,63.1
1987,243,Oats,63.8
1988,243,Oats,41.3
1989,243,Oats,55.2
1990,243,Oats,61.9
1991,243,Oats,60.0
1992,243,Oats,50.1
1993,243,Oats,74.1
1994,243,Oats,73.6
1995,243,Oats,76.1
1996,243,Oats,76.6
1997,243,Oats,57.8
1998,243,Oats,69.4
1999,243,Oats,61.4
2000,243,Oats,61.7
2001,243,Oats,53.3
2002,243,Oats,39.8
2003,243,Oats,60.0
2004,243,Oats,68.8
2005,243,Oats,66.4
2006,243,Oats,66.6
2007,243,Oats,81.2
2008,243,Oats,79.5
2009,243,Oats,71.5
2010,243,Oats,62.2
2011,243,Oats,84.5
2012,243,Oats,63.6
2013,243,Oats,93.6
2014,243,Oats,68.27
2015,243,Oats,94.39
2016,243,Oats,82.6
2017,243,Oats,102.24
2018,243,Oats,91.2
2019,243,Oats,114.6
2020,243,Oats,78.5
2021,243,Oats,61.7
2022,243,Oats,137.3
2023,243,Oats,108.0
2024,243,Oats,126.3
2025,243,Oats,145.8
1938,244,Oats,30.0
1939,244,Oats,15.0
1940,244,Oats,24.0
1941,244,Oats,21.0
1942,244,Oats,47.0
1943,244,Oats,35.0
1944,244,Oats,34.0
1945,244,Oats,38.0
1946,244,Oats,41.0
1947,244,Oats,34.0
1948,244,Oats,35.0
1949,244,Oats,31.0
1950,244,Oats,39.0
1951,244,Oats,39.0
1952,244,Oats,42.0
1953,244,Oats,44.0
1954,244,Oats,25.0
1955,244,Oats,37.0
1956,244,Oats,49.0
1957,244,Oats,22.0
1958,244,Oats,23.0
1959,244,Oats,34.0
1960,244,Oats,28.0
1961,244,Oats,9.0
1962,244,Oats,38.0
1963,244,Oats,53.0
1964,244,Oats,40.0
1965,244,Oats,42.0
1966,244,Oats,51.0
1967,244,Oats,20.0
1968,244,Oats,47.0
1969,244,Oats,55.0
1970,244,Oats,54.0
1971,244,Oats,58.0
1972,244,Oats,42.0
1973,244,Oats,44.0
1974,244,Oats,34.0
1975,244,Oats,45.0
1976,244,Oats,50.0
1977,244,Oats,50.0
1978,244,Oats,52.0
1979,244,Oats,20.0
1980,244,Oats,55.0
1981,244,Oats,54.0
1982,244,Oats,54.0
1983,244,Oats,43.1
1984,244,Oats,43.6
1985,244,Oats,57.2
1986,244,Oats,54.3
1987,244,Oats,64.3
1988,244,Oats,40.8
1989,244,Oats,40.1
1990,244,Oats,48.0
1991,244,Oats,43.0
1992,244,Oats,55.0
1993,244,Oats,54.2
1994,244,Oats,64.1
1995,244,Oats,73.2
1996,244,Oats,81.9
1997,244,Oats,64.6
1998,244,Oats,73.1
1999,244,Oats,71.2
2000,244,Oats,60.6
2001,244,Oats,51.3
2002,244,Oats,53.4
2003,244,Oats,51.3
2004,244,Oats,68.3
2005,244,Oats,79.5
2006,244,Oats,50.0
2007,244,Oats,53.9
2008,244,Oats,75.8
2009,244,Oats,80.8
2010,244,Oats,57.1
2011,244,Oats,72.0
2012,244,Oats,56.4
2013,244,Oats,97.2
2014,244,Oats,69.39
2015,244,Oats,98.22
2016,244,Oats,87.0
2017,244,Oats,90.71
2018,244,Oats,85.4
2019,244,Oats,91.7
2020,244,Oats,57.1
2021,244,Oats,37.2
2022,244,Oats,111.6
2023,244,Oats,80.3
2024,244,Oats,110.0
2025,244,Oats,106.3
1938,245,Oats,38.0
1939,245,Oats,36.0
1940,245,Oats,18.0
1941,245,Oats,25.0
1942,245,Oats,53.0
1943,245,Oats,36.0
1944,245,Oats,38.0
1945,245,Oats,35.0
1946,245,Oats,40.0
1947,245,Oats,35.0
1948,245,Oats,23.0
1949,245,Oats,18.0
1950,245,Oats,31.0
1951,245,Oats,40.0
1952,245,Oats,40.0
1953,245,Oats,53.0
1954,245,Oats,20.0
1955,245,Oats,40.0
1956,245,Oats,50.0
1957,245,Oats,21.0
1958,245,Oats,30.0
1959,245,Oats,41.0
1960,245,Oats,36.0
1961,245,Oats,3.0
1962,245,Oats,54.0
1963,245,Oats,48.0
1964,245,Oats,47.0
1965,245,Oats,38.0
1966,245,Oats,53.0
1967,245,Oats,13.0
1968,245,Oats,52.0
1969,245,Oats,55.0
1970,245,Oats,52.0
1971,245,Oats,58.0
1972,245,Oats,45.0
1973,245,Oats,44.0
1974,245,Oats,35.0
1975,245,Oats,43.0
1976,245,Oats,50.0
1977,245,Oats,48.0
1978,245,Oats,48.0
1979,245,Oats,17.0
1980,245,Oats,35.0
1981,245,Oats,55.0
1982,245,Oats,44.0
1983,245,Oats,47.5
1984,245,Oats,33.3
1985,245,Oats,60.6
1986,245,Oats,58.6
1987,245,Oats,66.0
1988,245,Oats,30.0
1989,245,Oats,37.2
1990,245,Oats,60.0
1991,245,Oats,52.5
1992,245,Oats,52.5
1993,245,Oats,43.4
1994,245,Oats,54.8
1995,245,Oats,67.8
1996,245,Oats,72.9
1997,245,Oats,63.8
1998,245,Oats,70.8
1999,245,Oats,72.7
2000,245,Oats,69.9
2001,245,Oats,48.9
2002,245,Oats,70.0
2003,245,Oats,46.1
2004,245,Oats,49.9
2005,245,Oats,68.4
2006,245,Oats,58.2
2007,245,Oats,60.9
2008,245,Oats,82.6
2009,245,Oats,73.1
2010,245,Oats,49.6
2011,245,Oats,64.7
2012,245,Oats,47.2
2013,245,Oats,90.6
2014,245,Oats,50.96
2015,245,Oats,80.8
2016,245,Oats,80.4
2017,245,Oats,87.09
2018,245,Oats,87.0
2019,245,Oats,99.5
2020,245,Oats,89.5
2021,245,Oats,60.0
2022,245,Oats,100.4
2023,245,Oats,82.7
2024,245,Oats,97.3
2025,245,Oats,100.9
1938,246,Oats,30.0
1939,246,Oats,18.0
1940,246,Oats,22.0
1941,246,Oats,16.0
1942,246,Oats,38.0
1943,246,Oats,28.0
1944,246,Oats,31.0
1945,246,Oats,24.0
1946,246,Oats,35.0
1947,246,Oats,25.0
1948,246,Oats,30.0
1949,246,Oats,27.0
1950,246,Oats,31.0
1951,246,Oats,41.0
1952,246,Oats,45.0
1953,246,Oats,43.0
1954,246,Oats,24.0
1955,246,Oats,38.0
1956,246,Oats,47.0
1957,246,Oats,15.0
1958,246,Oats,21.0
1959,246,Oats,24.0
1960,246,Oats,40.0
1961,246,Oats,1.0
1962,246,Oats,37.0
1963,246,Oats,50.0
1964,246,Oats,33.0
1965,246,Oats,50.0
1966,246,Oats,58.0
1967,246,Oats,18.0
1968,246,Oats,43.0
1969,246,Oats,58.0
1970,246,Oats,50.0
1971,246,Oats,58.0
1972,246,Oats,46.0
1973,246,Oats,45.0
1974,246,Oats,35.0
1975,246,Oats,40.0
1976,246,Oats,58.0
1977,246,Oats,51.0
1978,246,Oats,53.0
1979,246,Oats,15.0
1980,246,Oats,42.0
1981,246,Oats,60.0
1982,246,Oats,48.0
1983,246,Oats,49.9
1984,246,Oats,32.4
1985,246,Oats,50.8
1986,246,Oats,53.9
1987,246,Oats,53.0
1988,246,Oats,31.4
1989,246,Oats,29.2
1990,246,Oats,56.0
1991,246,Oats,66.2
1992,246,Oats,80.0
1993,246,Oats,73.4
1994,246,Oats,68.9
1995,246,Oats,61.3
1996,246,Oats,79.1
1997,246,Oats,67.3
1998,246,Oats,69.6
1999,246,Oats,63.9
2000,246,Oats,73.4
2001,246,Oats,59.4
2002,246,Oats,63.3
2003,246,Oats,72.9
2004,246,Oats,64.7
2005,246,Oats,67.9
2006,246,Oats,48.9
2007,246,Oats,51.2
2008,246,Oats,79.1
2009,246,Oats,77.5
2010,246,Oats,40.9
2011,246,Oats,71.6
2012,246,Oats,62.9
2013,246,Oats,89.3
2014,246,Oats,74.4
2015,246,Oats,78.91
2016,246,Oats,88.5
2017,246,Oats,73.23
2018,246,Oats,72.9
2019,246,Oats,74.3
2020,246,Oats,91.2
2021,246,Oats,66.0
2022,246,Oats,96.6
2023,246,Oats,92.6
2024,246,Oats,86.8
2025,246,Oats,110.5
1938,247,Oats,36.0
1939,247,Oats,24.0
1940,247,Oats,25.0
1941,247,Oats,21.0
1942,247,Oats,47.0
1943,247,Oats,34.0
1944,247,Oats,33.0
1945,247,Oats,23.0
1946,247,Oats,36.0
1947,247,Oats,26.0
1948,247,Oats,26.0
1949,247,Oats,37.0
1950,247,Oats,23.0
1951,247,Oats,35.0
1952,247,Oats,43.0
1953,247,Oats,49.0
1954,247,Oats,28.0
1955,247,Oats,38.0
1956,247,Oats,54.0
1957,247,Oats,23.0
1958,247,Oats,27.0
1959,247,Oats,34.0
1960,247,Oats,42.0
1961,247,Oats,8.0
1962,247,Oats,34.0
1963,247,Oats,51.0
1964,247,Oats,38.0
1965,247,Oats,53.0
1966,247,Oats,61.0
1967,247,Oats,25.0
1968,247,Oats,46.0
1969,247,Oats,55.0
1970,247,Oats,55.0
1971,247,Oats,58.0
1972,247,Oats,44.0
1973,247,Oats,63.0
1974,247,Oats,25.0
1976,247,Oats,60.0
1977,247,Oats,45.0
1978,247,Oats,58.0
1979,247,Oats,36.0
1980,247,Oats,37.0
1981,247,Oats,58.0
1982,247,Oats,53.0
1983,247,Oats,51.0
1984,247,Oats,35.9
1985,247,Oats,49.1
1986,247,Oats,66.4
1987,247,Oats,65.6
1988,247,Oats,33.9
1989,247,Oats,37.0
1990,247,Oats,72.5
1991,247,Oats,69.5
1992,247,Oats,55.4
1993,247,Oats,60.8
1994,247,Oats,55.0
1995,247,Oats,62.3
1996,247,Oats,60.8
1997,247,Oats,57.6
1998,247,Oats,60.8
1999,247,Oats,57.0
2000,247,Oats,57.6
2001,247,Oats,39.3
2002,247,Oats,33.4
2003,247,Oats,54.1
2004,247,Oats,48.7
2005,247,Oats,73.3
2006,247,Oats,54.2
2007,247,Oats,65.0
2008,247,Oats,75.4
2009,247,Oats,74.6
2010,247,Oats,65.9
2011,247,Oats,65.0
2012,247,Oats,62.2
2013,247,Oats,89.3
2014,247,Oats,69.63
2015,247,Oats,75.76
2016,247,Oats,77.1
2017,247,Oats,72.1
2018,247,Oats,75.9
2019,247,Oats,96.5
2020,247,Oats,90.5
2021,247,Oats,37.4
2022,247,Oats,109.3
